Year,Tank,Treatment,Species,Type,Abundance,Total_Abundance,Invasive_Abundance,Stocked_Mass,Harvested_Mass,,4.65
2016,29,Equal,Cambarus sp C,Native,4,8,4,5.2,NA,,
2016,29,Equal,Cambarus sp C,Native,4,8,4,2,NA,,
2016,29,Equal,Cambarus sp C,Native,4,8,4,3.2,NA,,
2016,27,Low,Cambarus sp C,Native,4,6,2,9.2,8.8,,
2016,27,Low,Cambarus sp C,Native,4,6,2,6.1,NA,,
2016,27,Low,Cambarus sp C,Native,4,6,2,2.3,NA,,
2016,27,Low,Cambarus sp C,Native,4,6,2,2.6,NA,,
2016,4,High,F. virilis,Invasive,6,10,6,4,15,,
2016,4,High,F. virilis,Invasive,6,10,6,5.5,6.4,,
2016,4,High,F. virilis,Invasive,6,10,6,9.3,12.7,,
2016,4,High,F. virilis,Invasive,6,10,6,3.4,3.1,,
2016,4,High,F. virilis,Invasive,6,10,6,6.5,3.4,,
2016,4,High,F. virilis,Invasive,6,10,6,2.8,NA,,
2016,3,Equal,F. virilis,Invasive,4,8,4,3,13,,
2016,3,Equal,F. virilis,Invasive,4,8,4,5.5,3.9,,
2016,3,Equal,F. virilis,Invasive,4,8,4,3.4,6.8,,
2016,3,Equal,F. virilis,Invasive,4,8,4,4.4,5.6,,
2016,2,Low,F. virilis,Invasive,2,6,2,5.3,8,,
2016,2,Low,F. virilis,Invasive,2,6,2,4,22.6,,
2016,5,Ctl_Invasive,F. virilis,Invasive,4,4,4,6.7,14.7,,
2016,5,Ctl_Invasive,F. virilis,Invasive,4,4,4,1.4,14.8,,
2016,5,Ctl_Invasive,F. virilis,Invasive,4,4,4,4.6,10.6,,
2016,5,Ctl_Invasive,F. virilis,Invasive,4,4,4,11.4,1.5,,
2016,10,High,F. virilis,Invasive,6,10,6,3.6,17.9,,
2016,10,High,F. virilis,Invasive,6,10,6,6,7.4,,
2016,10,High,F. virilis,Invasive,6,10,6,6.5,7.3,,
2016,10,High,F. virilis,Invasive,6,10,6,6.1,2.8,,
2016,10,High,F. virilis,Invasive,6,10,6,2,4,,
2016,10,High,F. virilis,Invasive,6,10,6,3.2,4.7,,
2016,7,Equal,F. virilis,Invasive,4,8,4,4.5,5.2,,
2016,7,Equal,F. virilis,Invasive,4,8,4,2.9,6.1,,
2016,7,Equal,F. virilis,Invasive,4,8,4,3,3.5,,
2016,7,Equal,F. virilis,Invasive,4,8,4,2.5,NA,,
2016,9,Low,F. virilis,Invasive,2,6,2,3.5,7.5,,
2016,9,Low,F. virilis,Invasive,2,6,2,3.3,NA,,
2016,8,Ctl_Invasive,F. virilis,Invasive,4,4,4,2.5,6.5,,
2016,8,Ctl_Invasive,F. virilis,Invasive,4,4,4,3.2,13.2,,
2016,8,Ctl_Invasive,F. virilis,Invasive,4,4,4,4.9,5,,
2016,8,Ctl_Invasive,F. virilis,Invasive,4,4,4,11.9,NA,,
2016,12,High,F. virilis,Invasive,6,10,6,2.8,12.2,,
2016,12,High,F. virilis,Invasive,6,10,6,7.4,4.4,,
2016,12,High,F. virilis,Invasive,6,10,6,2.3,4.9,,
2016,12,High,F. virilis,Invasive,6,10,6,2.5,4.4,,
2016,12,High,F. virilis,Invasive,6,10,6,2.9,4.4,,
2016,12,High,F. virilis,Invasive,6,10,6,2.7,3.2,,
2016,15,Equal,F. virilis,Invasive,4,8,4,7.7,8.2,,
2016,15,Equal,F. virilis,Invasive,4,8,4,3.5,11.2,,
2016,15,Equal,F. virilis,Invasive,4,8,4,4,3.7,,
2016,15,Equal,F. virilis,Invasive,4,8,4,2.1,NA,,
2016,14,Low,F. virilis,Invasive,2,6,2,8.6,NA,,
2016,14,Low,F. virilis,Invasive,2,6,2,7.1,NA,,
2016,11,Ctl_Invasive,F. virilis,Invasive,4,4,4,6.3,20.4,,
2016,11,Ctl_Invasive,F. virilis,Invasive,4,4,4,6,15.4,,
2016,11,Ctl_Invasive,F. virilis,Invasive,4,4,4,9.3,10.5,,
2016,11,Ctl_Invasive,F. virilis,Invasive,4,4,4,15.2,11,,
2016,19,High,F. virilis,Invasive,6,10,6,8.4,17.1,,
2016,19,High,F. virilis,Invasive,6,10,6,3.5,4.3,,
2016,19,High,F. virilis,Invasive,6,10,6,3,4.5,,
2016,19,High,F. virilis,Invasive,6,10,6,2.2,4.6,,
2016,19,High,F. virilis,Invasive,6,10,6,3.3,4,,
2016,19,High,F. virilis,Invasive,6,10,6,2.4,NA,,
2016,16,Equal,F. virilis,Invasive,4,8,4,5,5.2,,
2016,16,Equal,F. virilis,Invasive,4,8,4,2.3,4.5,,
2016,16,Equal,F. virilis,Invasive,4,8,4,2,3.6,,
2016,16,Equal,F. virilis,Invasive,4,8,4,3.2,12.1,,
2016,17,Low,F. virilis,Invasive,2,6,2,4.8,5.3,,
2016,17,Low,F. virilis,Invasive,2,6,2,3.7,10.7,,
2016,20,Ctl_Invasive,F. virilis,Invasive,4,4,4,4.3,6,,
2016,20,Ctl_Invasive,F. virilis,Invasive,4,4,4,7,22.9,,
2016,20,Ctl_Invasive,F. virilis,Invasive,4,4,4,7.8,14.6,,
2016,20,Ctl_Invasive,F. virilis,Invasive,4,4,4,12.1,NA,,
2016,23,High,F. virilis,Invasive,6,10,6,5.8,3.6,,
2016,23,High,F. virilis,Invasive,6,10,6,6,6.7,,
2016,23,High,F. virilis,Invasive,6,10,6,3.8,10.9,,
2016,23,High,F. virilis,Invasive,6,10,6,3.5,5.6,,
2016,23,High,F. virilis,Invasive,6,10,6,2.6,NA,,
2016,23,High,F. virilis,Invasive,6,10,6,4,NA,,
2016,22,Equal,F. virilis,Invasive,4,8,4,6.7,8.8,,
2016,22,Equal,F. virilis,Invasive,4,8,4,4.8,4.6,,
2016,22,Equal,F. virilis,Invasive,4,8,4,3,3.3,,
2016,22,Equal,F. virilis,Invasive,4,8,4,4,NA,,
2016,24,Low,F. virilis,Invasive,2,6,2,6.4,3.9,,
2016,24,Low,F. virilis,Invasive,2,6,2,3.5,3.9,,
2016,21,Ctl_Invasive,F. virilis,Invasive,4,4,4,6.6,12.5,,
2016,21,Ctl_Invasive,F. virilis,Invasive,4,4,4,5.4,8,,
2016,21,Ctl_Invasive,F. virilis,Invasive,4,4,4,5.4,22.3,,
2016,21,Ctl_Invasive,F. virilis,Invasive,4,4,4,13,NA,,
2016,26,High,F. virilis,Invasive,6,10,6,6,8.3,,
2016,26,High,F. virilis,Invasive,6,10,6,5.2,3.8,,
2016,26,High,F. virilis,Invasive,6,10,6,2.8,7.6,,
2016,26,High,F. virilis,Invasive,6,10,6,2.4,9.9,,
2016,26,High,F. virilis,Invasive,6,10,6,6,5.1,,
2016,26,High,F. virilis,Invasive,6,10,6,3.1,NA,,
2016,29,Equal,F. virilis,Invasive,4,8,4,3.8,16.1,,
2016,29,Equal,F. virilis,Invasive,4,8,4,5,13.3,,
2016,29,Equal,F. virilis,Invasive,4,8,4,2.9,9.2,,
2016,29,Equal,F. virilis,Invasive,4,8,4,8.6,3.9,,
2016,27,Low,F. virilis,Invasive,2,6,2,5,7.4,,
2016,27,Low,F. virilis,Invasive,2,6,2,7.3,7.8,,
2016,30,Ctl_Invasive,F. virilis,Invasive,4,4,4,4.9,19.3,,
2016,30,Ctl_Invasive,F. virilis,Invasive,4,4,4,4.6,10.5,,
2016,30,Ctl_Invasive,F. virilis,Invasive,4,4,4,7.8,6.8,,
2016,30,Ctl_Invasive,F. virilis,Invasive,4,4,4,10.4,NA,,
